,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
351, C Class,2014,15498,Semi-Auto,23772,Diesel,20,64.2,2.1
352, C Class,2017,18998,Semi-Auto,28808,Diesel,145,61.4,2.1
353, E Class,2016,19998,Semi-Auto,29511,Diesel,30,65.7,2.0
354, GLA Class,2014,15698,Semi-Auto,43696,Diesel,145,55.4,2.1
355, GLC Class,2016,25998,Semi-Auto,40220,Diesel,145,56.5,2.1
356, A Class,2016,15200,Semi-Auto,39057,Diesel,20,74.3,1.5
357, M Class,2013,15200,Semi-Auto,61363,Diesel,200,44.8,2.1
358, A Class,2016,15200,Semi-Auto,23286,Diesel,20,68.9,2.1
359, M Class,2014,15998,Semi-Auto,71657,Diesel,200,44.8,2.1
360, C Class,2019,22498,Semi-Auto,10455,Petrol,145,46.3,1.5
361, GLA Class,2016,17998,Semi-Auto,39017,Diesel,125,56.5,2.1
362, CL Class,2013,11998,Manual,33562,Petrol,125,50.4,1.6
363, A Class,2019,21498,Semi-Auto,4138,Diesel,145,65.7,1.5
364, C Class,2016,19298,Semi-Auto,27644,Diesel,30,64.2,2.1
365, GLE Class,2016,28998,Semi-Auto,34669,Diesel,200,47.9,2.1
366, B Class,2017,12498,Manual,29559,Diesel,20,68.9,1.5
367, V Class,2018,32998,Semi-Auto,18932,Diesel,145,45.6,2.2
368, C Class,2018,29498,Semi-Auto,6265,Diesel,145,54.3,2.0
369, C Class,2016,16998,Semi-Auto,21786,Diesel,20,65.7,2.1
370, S Class,2015,28998,Semi-Auto,16382,Diesel,200,47.9,3.0
371, E Class,2016,20298,Semi-Auto,23411,Diesel,160,52.3,3.0
